"location","source","target"
"LO3.4.32","Identify routine tasks which could be (partially or fully) automated through programming tools or AI systems.",""
"LO3.4.33","Assess ethical and practical aspects of the development and deployment of computer programs and AI systems.",""
"LO3.4.34","Apply computational thinking, knowledge of programming and/or AI systems to (partially or fully) automate routine tasks.",""
"LO3.4.35","Apply programming tools or AI systems to complex computational thinking tasks.",""
"LO3.4.36","Promote and support ethical programming and/or AI systems development practices.",""
"LO3.4.37","Stay informed about current developments in programming techniques and related applications of AI systems, such as robotics.",""
"LO3.4.38","Lead or contribute to complex projects focused on applications of computational thinking, programming or AI systems, including developing, validating and deploying computer programs or AI systems.",""
"LO3.4.39","Assist others to develop basic programming capabilities and/or or capabilities in the application of AI systems to computational thinking tasks.",""
"LO4.1.01","Acknowledge the importance of one's individual role in protecting digital devices and their contents.",""
"LO4.1.02","Recognise the concepts of cybersecurity, cyber threat and cyberattack.",""
"LO4.1.03","Recognise that individuals' actions and cybersecurity tools work together to help keep devices and their contents secure.",""
"LO4.1.04","Recognise that there is cybersecurity legislation that helps to ensure the security of products and services.",""
"LO4.1.05","Identify basic device protection measures and practices, such as antivirus software, screen locking, strong passwords, and multi-factor authentication.",""
"LO4.1.06","Apply basic device protection measures and practices, such as antivirus software, screen locking, strong passwords, and multi-factor authentication.",""
"LO4.1.07","Acknowledge the importance of remaining vigilant to and up-to-date with cybersecurity practices.",""
"LO4.1.08","Describe main features of malware.",""
"LO4.1.09","Recognise that AI systems can be used for both cyberattacks and cybersecurity.",""
"LO4.1.10","Apply a variety of malware prevention techniques and practices to protect devices and their contents.",""
"LO4.1.11","Prioritise regular checking and updating of cybersecurity measures that are in place on one's devices.",""
"LO4.1.12","Describe key rights of individuals under current cybersecurity legislation.",""
"LO4.1.13","Identify examples of how recent and emerging technologies such as AI systems are used in cyberattacks and cybersecurity.",""
"LO4.1.14","Update cybersecurity measures to protect devices and their contents in response to evolving digital threats.",""
"LO4.1.15","Assist others in implementing basic device protection measures, such as antivirus software, screen locking, strong passwords and multi-factor authentication.",""
"LO4.1.16","Stay informed about digital technological and legislative developments in relation to cybersecurity.",""
"LO4.1.17","Assess rights of individuals under relevant provisions of current cybersecurity legislation.",""
"LO4.1.18","Lead or contribute to citizen-focused cybersecurity initiatives.",""
"LO4.1.19","Support others to build their capabilities in protecting their devices and their contents against digital threats.",""
"LO4.2.01","Acknowledge the importance of a cautious approach to the sharing of personal data in digital environments.",""
"LO4.2.02","Recognise that personal data is collected and generated through a large variety of digital sources and processes.",""
"LO4.2.03","Identify risks of sharing personal data in digital environments, including specific risks in relation to AI systems.",""
"LO4.2.04","Recognise that individuals have a right to privacy and that their personal data is protected under legislation.",""
"LO4.2.05","Recognise that manipulative methods can be used to deceive individuals into providing access to personal data, accounts or other sensitive information.",""
"LO4.2.06","Recognise signs of identity theft.",""
"LO4.2.07","Recognise that users of platforms and services can request to block or flag information that has been shared inappropriately online.",""
"LO4.2.08","Implement basic security measures for online payments and transactions.",""
"LO4.2.09","Respond appropriately to signs of identity theft.",""
"LO4.2.10","Block or flag personal information that has been inappropriately shared online.",""
"LO4.2.11","Acknowledge the importance of careful handling of personal data of oneself and others, especially vulnerable individuals and children.",""
"LO4.2.12","Recognise key concepts of data protection and privacy legislation including privacy, anonymisation, pseudonymisation and data removal rights.",""
"LO4.2.13","Identify the purpose of privacy statements.",""
"LO4.2.14","Define main privacy statement concepts such as data subject, retention period, data transfer, and automated decision-making system.",""
"LO4.2.15","Describe techniques related to social engineering in digital environments, such as phishing or baiting.",""
"LO4.2.16","Define personal data breach under current data protection and privacy legislation.",""
"LO4.2.17","Recognise that regulation of personal data ownership in AI systems is complex.",""
"LO4.2.18","Describe privacy implications associated with the use of content shared online, such as to train AI systems.",""
"LO4.2.19","Define main features and functions of privacy tools.",""
"LO4.2.20","Manage personal data and privacy across a variety of digital environments, including use of privacy tools.",""
"LO4.2.21","Continually explore data ownership and privacy issues in relation to digital technological developments.",""
"LO4.2.22","Support others to understand their rights under current data protection and privacy legislation.",""
"LO4.2.23","Assist others to implement basic strategies to protect personal data and manage privacy in digital environments.",""
"LO4.2.24","Stay informed about digital technological and legislative developments in relation to personal data, data ownership and privacy.",""
"LO4.2.25","Advise on policy or regulatory aspects of data protection and privacy in digital contexts.",""
"LO4.2.26","Lead or contribute to the design of personal data protection strategies in digital contexts.",""
"LO4.3.01","Acknowledge the benefits of balancing online and offline activities.",""
"LO4.3.02","Acknowledge the importance of daily routines that minimise digital stress and promote social connection.",""
"LO4.3.03","Identify main risks and benefits to physical, mental and social wellbeing in digital environments.",""
"LO4.3.04","Recognise that there is a variety of information, groups and communities in digital environments that can support one’s physical, mental and/or social wellbeing.",""
"LO4.3.05","Recognise risks and benefits to one's own physical, mental and social wellbeing in digital environments.",""
"LO4.3.06","Identify features of digital platforms or services, such as social media, that are designed to capture and maintain individuals' attention.",""
"LO4.3.07","Identify limitations and risks of using virtual assistants and AI systems to support human wellbeing.",""
"LO4.3.08","Identify strategies to support physical, mental and social wellbeing in digital environments.",""
"LO4.3.09","Recognise signs and potential effects of problematic usage of digital technologies.",""
"LO4.3.10","Recognise that there are laws and regulations that help protect the wellbeing of individuals in digital environments.",""
"LO4.3.11","Make a basic assessment of one's digital habits in relation to one’s physical, mental and social wellbeing.",""
"LO4.3.12","Apply personalised strategies to support physical, mental and social wellbeing in digital environments.",""
"LO4.3.13","Acknowledge the importance of one's own and others' right to disconnect.",""
"LO4.3.14","Acknowledge the physical, mental and social benefits of analysing one's own digital usage patterns.",""
"LO4.3.15","Identify reliable sources of information, and inclusive groups and communities in digital environments, that can support one’s physical, mental and/or social wellbeing.",""
"LO4.3.16","Describe examples of harmful content and behaviour in digital environments and their potential impacts on oneself and others.",""
"LO4.3.17","Describe ways in which some applications of digital technologies, such as social media, augment and perpetuate bias, stereotyping and exclusion.",""
"LO4.3.18","Describe strategies to help protect against and respond effectively to harmful behaviour and content.",""
"LO4.3.19","Identify possible ways to flag or intervene if harmful behaviour or content is encountered in digital environments.",""
"LO4.3.20","Describe impacts of harmful behaviour, content and deceptive design in digital environments on oneself and others.",""
"LO4.3.21","Analyse and adapt one's own digital usage patterns to support physical, mental and social wellbeing.",""
"LO4.3.22","Implement strategies to help protect oneself against and respond effectively to harmful behaviour and content.",""
"LO4.3.23","Adapt to changing digital technological developments and needs to support and maintain one's own and others' physical, mental and social wellbeing.",""
"LO4.3.24","Continually scrutinise the role of digital technologies such as social media in augmenting and perpetuating bias, stereotyping and exclusion.",""
"LO4.3.25","Assist others to review and adapt their usage of digital technologies to support and maintain their physical, mental and social wellbeing.",""
"LO4.3.26","Flag or intervene effectively in instances of harmful behaviour or content in digital environments.",""
"LO4.3.27","Help others to build capacity to counteract the role of digital technologies such as social media in augmenting and perpetuating bias, stereotyping and exclusion.",""
"LO4.3.28","Assist others to understand their rights in relation to wellbeing and/or inclusion in digital environments.",""
"LO4.3.29","Assist others to develop awareness of harmful behaviour, content and deceptive design in digital environments.",""
"LO4.3.30","Promote actions that support wellbeing and inclusion in digital environments.",""
"LO4.3.31","Assess and evaluate evidence on wellbeing and/or inclusion in digital environments to guide decision-making.",""
"LO4.3.32","Lead or contribute to initiatives that support wellbeing and/or inclusion in digital environments.",""
"LO4.3.33","Contribute to legal and regulatory decision-making in relation to individuals' wellbeing and/or inclusion in digital environments.",""
"LO4.4.01","Acknowledge the role that individuals can play to help reduce the environmental impact of digital technologies.",""
"LO4.4.02","Recognise that some digital technologies and infrastructures such as AI systems and data centres have large impacts on the environment.",""
"LO4.4.03","Recognise that the full environmental impacts of digital technologies are not immediately apparent to an individual user.",""
"LO4.4.04","Recognise that digital technologies can support energy efficiency and sustainability.",""
"LO4.4.05","Identify simple strategies to reduce energy and data consumption of digital technologies, such as minimising usage of energy-intensive applications and non-usage of digital technologies when not needed.",""
"LO4.4.06","Apply simple strategies to reduce energy and data consumption of digital technologies, such as minimising usage of energy-intensive applications and non-usage of digital technologies when not needed.",""
"LO4.4.07","Continually assess the environmental impacts of one's usage of digital technologies.",""
"LO4.4.08","Identify environmental impacts of digital technologies that occur during manufacturing, usage and disposal.",""
"LO4.4.09","Describe environmental impacts of data centres and e-commerce.",""
"LO4.4.10","Describe examples of how digital tools can support sustainable living.",""
"LO4.4.11","Define the concepts of sharing economy and circular economy, including risks, limitations and potential environmental benefits.",""
"LO4.4.12","Apply a variety of strategies to reduce the environmental impact of one's use of digital technologies and digital devices, such as informed digital device purchasing decisions, device recycling and repair, environmentally conscious e-commerce practices, and environmentally conscious usage patterns.",""
"LO4.4.13","Stay informed about the environmental impacts of digital technologies and ways in which digital technologies can support sustainability.",""
"LO4.4.14","Evaluate the environmental impacts of digital technologies and infrastructures to support decision-making or advocacy.",""
"LO4.4.15","Help others to assess their use of digital technologies to identify ways in which to reduce environmental impact.",""
"LO4.4.16","Stay informed about the environmental and sustainability implications of digital technologies across a range of sectors.",""
"LO4.4.17","Promote and support actions for environmentally sustainable usage of digital technologies.",""
"LO4.4.18","Lead or contribute to digital sustainability initiatives.",""
"LO4.4.19","Contribute to improvements in or solutions for digital sustainability.",""
"LO5.1.01","Acknowledge the commonplace nature of technical problems in digital environments.",""
"LO5.1.02","Acknowledge the benefits of seeking assistance to help resolve technical problems.",""
"LO5.1.03","Distinguish between operating systems and software.",""
"LO5.1.04","Identify main features of hardware, software, connectivity, and common peripheral devices.",""
"LO5.1.05","Recognise signs of common technical problems such as lack of connectivity, forgot password, forgot file location, unsaved document, or error in email or web address.",""
"LO5.1.06","Follow instructions to solve common technical problems such as lack of connectivity, forgot password, forgot file location, unsaved document, or error in email or web address.",""
"LO5.1.07","Install and update software and applications, as needed.",""
"LO5.1.08","Acknowledge the benefits of building capacity and autonomy in addressing technical issues.",""
"LO5.1.09","Troubleshoot technical problems in digital environments using a variety of search and problem-solving strategies (whether human-assisted or digital technology-assisted).",""
"LO5.1.10","Update and adjust settings on main and peripheral digital devices to maintain good performance.",""
"LO5.1.11","Prioritise the development of one's capacity to diagnose and solve technical issues in digital environments.",""
"LO5.1.12","Assist others to diagnose and solve technical problems in digital environments.",""
"LO5.1.13","Use various solution-finding strategies to troubleshoot complex technical problems in digital environments.",""
"LO5.1.14","Help others to develop confidence and autonomy to solve technical problems in digital environments.",""
"LO5.1.15","Design or deliver training to support the use of digital devices or systems.",""
"LO5.2.01","Acknowledge the importance of individual choice in digital environment configurations.",""
"LO5.2.02","Recognise common ways in which features of digital environments can be adjusted to meet users' needs and preferences.",""
"LO5.2.03","Recognise the concept and purpose of a digital assistance tool.",""
"LO5.2.04","Recognise the presence of AI systems in digital assistance tools.",""
"LO5.2.05","Identify common assistive technologies and their purposes.",""
"LO5.2.06","Use assistive technologies, if and as required.",""
"LO5.2.07","Use digital assistance tools to support simple tasks, with awareness of their benefits and limitations.",""
"LO5.2.08","Acknowledge the benefits of exploring adaptations to digital environment configurations and features of digital assistance tools.",""
"LO5.2.09","Adjust features of one's digital environment to suit one's own and others' needs and preferences.",""
"LO5.2.10","Make informed use of digital assistance tools to support one's own and others' needs, with awareness of their benefits and limitations.",""
"LO5.2.11","Prioritise an ongoing assessment of how digital environmental configurations, digital assistance tools and/or assistive technologies can meet the needs of oneself and others.",""
"LO5.2.12","Adjust features of one's digital environment to suit one's own and others' needs and preferences.",""
"LO5.2.13","Assess the accessibility, inclusivity, fairness and/or rights-sensitivity of digital technologies in a given context.",""
"LO5.2.14","Support others to make informed use of digital assistance tools, and adjustments to digital environment configurations, to meet their own and others' needs.",""
"LO5.2.15","Promote and support the use of inclusive and accessible digital technologies.",""
"LO5.2.16","Assess complex needs of individuals to identify and/or design tailored digital solutions.",""
"LO5.2.17","Contribute to improvements in digital assistance tools, accessible digital environment configurations, and/or assistive technologies.",""
"LO5.3.01","Acknowledge that digital technologies can support, but not replace, human creativity.",""
"LO5.3.02","Identify examples of how digital technologies are used to solve real-world problems and to make improvements to or create new solutions for products and services.",""
"LO5.3.03","Identify examples of where digital technologies can support or augment human creativity.",""
"LO5.3.04","Acknowledge the importance of placing human rights, values, needs and experiences at the centre of digital technologies design and use.",""
"LO5.3.05","Define the concept of human-centric and its role in digital technologies development and usage.",""
"LO5.3.06","Identify examples of the interplay between humans and digital technologies in creativity and problem-solving.",""
"LO5.3.07","Describe strengths, weaknesses and ethical considerations of digital technologies including AI systems in relation to human creativity and problem-solving.",""
"LO5.3.08","Assess strengths and weaknesses of available digital technologies in relation to a particular problem-solving task.",""
"LO5.3.09","Use a variety of digital technologies responsibly and ethically to support problem-solving as an individual or in a group.",""
"LO5.3.10","Prioritise human-centric approaches in one's own use of digital technologies for problem-solving.",""
"LO5.3.11","Use a variety of digital technologies efficiently, responsibly and ethically to help solve complex problems.",""
"LO5.3.12","Contribute to initiatives focused on the application of digital technologies to help solve complex problem-solving tasks.",""
"LO5.3.13","Support others to develop their confidence and capabilities in using digital technologies to help solve real-world problems.",""
"LO5.3.14","Lead or contribute to initiatives focused on the application of digital technologies for highly complex or specialised problem-solving.",""
"LO5.3.15","Lead or contribute to initiatives that use digital technologies to help make improvements to or find new solutions for real-world problems.",""
"LO5.3.16","Support others to develop their capabilities to use digital technologies for complex or specialised problem-solving tasks.",""
"LO5.4.01","Acknowledge the value of learning about digital technologies in relation to one's own interests and needs.",""
"LO5.4.02","Acknowledge the benefits and commonplace nature of seeking support in addressing digital competence needs.",""
"LO5.4.03","Recognise that digital competence is much broader than technical skills.",""
"LO5.4.04","Recognise that digital competence requires regular updating for daily life, working and learning.",""
"LO5.4.05","Identify opportunities to improve one's digital competences.",""
"LO5.4.06","Acknowledge the benefits of staying informed about developments in digital technologies.",""
"LO5.4.07","Prioritise the identification of opportunities to learn about digital technologies.",""
"LO5.4.08","Identify relevant learning to meet one's digital competence needs.",""
"LO5.4.09","Accurately assess one's own digital competences and digital competence needs.",""
"LO5.4.10","Participate actively in learning to meet one's digital competence needs.",""
"LO5.4.11","Continually assess digital technological developments and their implications for one’s own and others’ digital competence needs.",""
"LO5.4.12","Engage in ongoing self-development to meet digital competence needs.",""
"LO5.4.13","Support others to develop confidence and autonomy in digital environments.",""
"LO5.4.14","Compile available digital competence learning opportunities for a particular purpose.",""
"LO5.4.15","Engage in ongoing self-development to meet complex or specialised digital competence needs.",""
"LO5.4.16","Mentor others in identifying and addressing their digital competence needs.",""
"LO5.4.17","Design learning material to help others to meet complex or specialised digital competence needs.",""
